scenario,algorithm,trial,found,time_s,expanded,visited,frontier_peak,path_len,total_cost,b_star
S4,Dijkstra,1,True,0.016824311000164016,4896,4896,199,69,79.76955262170043,1.0910919279838818
S4,Dijkstra,2,True,0.014153532999898744,4233,4233,186,72,87.32590180780444,1.0837928238551404
S4,Dijkstra,3,True,0.003170575999774883,944,944,114,24,29.798989873223338,1.2430990860715951
S4,Dijkstra,4,True,0.017725414000324236,5269,5269,191,69,78.52691193458115,1.0924679742364858
S4,Dijkstra,5,True,0.01722802899985254,5289,5289,213,85,99.08326112068518,1.0714826186144046
S4,Dijkstra,6,True,0.012683284000104322,4077,4077,193,58,71.66904755831209,1.1088840567200355
S4,Dijkstra,7,True,0.009392746000230545,3053,3053,172,44,56.01219330881973,1.1450587953625417
S4,Dijkstra,8,True,0.01853683999979694,5692,5692,222,57,71.94112549695424,1.118963295364944
S4,Dijkstra,9,True,0.022114275000149064,6809,6809,196,98,109.18376618407352,1.0631978153433135
S4,Dijkstra,10,True,0.001337898000201676,339,339,80,14,16.899494936611667,1.3842268163170384
S4,Dijkstra,11,True,0.003318593999665609,976,976,127,23,27.142135623730955,1.2595820777319227
S4,Dijkstra,12,True,0.020105294000131835,6214,6214,199,81,100.05382386916229,1.0784228311940987
S4,Dijkstra,13,True,0.01996784800030582,6375,6375,200,77,91.91168824543135,1.083895955528794
S4,Dijkstra,14,True,0.020080946999769367,6265,6265,266,64,73.94112549695424,1.1050103655861894
S4,Dijkstra,15,True,0.016818814000089333,5385,5385,238,54,66.42640687119281,1.1258640694827156
S4,Dijkstra,16,True,0.005318946999977925,1660,1660,123,35,40.38477631085023,1.169759839693417
S4,Dijkstra,17,True,0.012751802999900974,3503,3503,266,40,47.041630560342604,1.1684208707734691
S4,Dijkstra,18,True,0.004667401999995491,1437,1437,97,38,45.8700576850888,1.1473256740607245
S4,Dijkstra,19,True,0.005775343000095745,1750,1750,116,36,44.69848480983499,1.165712906981407
S4,Dijkstra,20,True,0.01606749900020077,4645,4645,258,47,55.69848480983497,1.1454163038234673
S4,Dijkstra,21,True,0.007892753000305675,2508,2508,144,57,64.0416305603426,1.100015074410972
S4,Dijkstra,22,True,0.007266724000146496,2037,2037,190,36,41.38477631085023,1.1715921860805465
S4,Dijkstra,23,True,0.015415028999996139,3946,3946,168,79,86.87005768508878,1.0734915149723565
S4,Dijkstra,24,True,0.022519180000017514,6477,6477,214,86,105.88225099390846,1.073458849046085
S4,Dijkstra,25,True,0.02220988099998067,6304,6304,296,59,68.52691193458118,1.1162455675983303
S4,Dijkstra,26,True,0.0040500130003238155,1174,1174,122,30,34.97056274847715,1.1909302392657661
S4,Dijkstra,27,True,0.011188012000275194,3097,3097,151,54,64.76955262170043,1.1123205089142592
S4,Dijkstra,28,True,0.01804443499986519,5368,5368,194,69,85.56854249492373,1.0928165616198728
S4,A*,1,True,0.004348942999968131,972,972,150,69,79.76955262170043,1.0600830225613378
S4,A*,2,True,0.004322131000208174,971,971,258,72,87.32590180780444,1.0567064563829893
S4,A*,3,True,0.00040012699992075795,84,84,58,24,29.798989873223338,1.0894395901744969
S4,A*,4,True,0.002785367000342376,528,528,168,69,78.52691193458116,1.0477728576577996
S4,A*,5,True,0.00569807200008654,1318,1318,188,85,99.08326112068518,1.0501164359753856
S4,A*,6,True,0.0018979149999722722,441,441,168,58,71.66904755831209,1.056812563360328
S4,A*,7,True,0.0007420609999826411,163,163,114,44,56.01219330881973,1.050723747816951
S4,A*,8,True,0.005507573000159027,1132,1132,199,57,71.94112549695424,1.081286158952235
S4,A*,9,True,0.0052646519998234,975,975,219,98,109.18376618407352,1.03723226655142
S4,A*,10,True,0.00017163300026368233,34,34,35,14,16.899494936611667,1.1085164125231302
S4,A*,11,True,0.00018652200014912523,39,39,46,23,27.142135623730955,1.0398351665957577
S4,A*,12,True,0.006407660999684595,1441,1441,345,81,100.05382386916229,1.0549140914412138
S4,A*,13,True,0.006412299999738025,1260,1260,312,77,91.91168824543136,1.0563633750978787
S4,A*,14,True,0.0032150219999493856,747,747,151,64,73.94112549695424,1.0608257074817669
S4,A*,15,True,0.0016455649997624278,364,364,144,54,66.42640687119282,1.0578648793866487
S4,A*,16,True,0.000670981999974174,150,150,78,35,40.38477631085023,1.0703217520004937
S4,A*,17,True,0.0012371119996714697,285,285,98,40,47.041630560342604,1.0805489680200182
S4,A*,18,True,0.0012492050000219024,271,271,118,38,45.8700576850888,1.0849145204784976
S4,A*,19,True,0.000842116000058013,179,179,109,36,44.69848480983499,1.07468615082694
S4,A*,20,True,0.00234021300002496,528,528,182,47,55.69848480983498,1.0822451936101078
S4,A*,21,True,0.0017178860002786678,330,330,129,57,64.0416305603426,1.0508865577493989
S4,A*,22,True,0.0014919459999873652,312,312,99,36,41.38477631085023,1.0977166674145131
S4,A*,23,True,0.0026968560000568687,558,558,169,79,86.87005768508878,1.0402196867607545
S4,A*,24,True,0.006032352000147512,1197,1197,358,86,105.88225099390846,1.0478304633236046
S4,A*,25,True,0.0008058250000431144,152,152,131,59,68.52691193458118,1.0280834583037173
S4,A*,26,True,0.0002773890000753454,51,51,56,30,34.97056274847715,1.0311713479431774
S4,A*,27,True,0.001424644999588054,267,267,177,54,64.76955262170043,1.0494149395528711
S4,A*,28,True,0.006893934999880003,1524,1524,285,69,85.56854249492373,1.0688876207468239
