scenario,algorithm,trial,found,time_s,expanded,visited,frontier_peak,path_len,total_cost,b_star
S3,Dijkstra,1,True,0.00934452199999214,4579,4579,136,99,99.0,1.0573224937111259
S3,Dijkstra,2,True,0.00837760900003559,4177,4177,114,107,112.0,1.0509273873695641
S3,Dijkstra,3,True,0.0018980550003107055,1071,1071,79,38,43.0,1.136557442113121
S3,Dijkstra,4,True,0.01014551299977029,5008,5008,131,98,98.0,1.059218905147354
S3,Dijkstra,5,True,0.00919769800020731,5217,5217,127,121,126.0,1.0459786447417532
S3,Dijkstra,6,True,0.008010793000266858,4336,4336,139,91,91.0,1.0629009094169621
S3,Dijkstra,7,True,0.006791154999973514,3517,3517,130,79,79.0,1.0716072106440562
S3,Dijkstra,8,True,0.010038320000148815,5458,5458,152,77,92.0,1.0813114571321134
S3,Dijkstra,9,True,0.013052711999989697,6842,6842,136,137,137.0,1.0418770321891322
S3,Dijkstra,10,True,0.0005396880001171667,292,292,50,21,21.0,1.2054476352704269
S3,Dijkstra,11,True,0.0015899669997452293,891,891,79,37,37.0,1.1344680817559643
S3,Dijkstra,12,True,0.011487102000046434,6207,6207,151,119,129.0,1.0487904836127862
S3,Dijkstra,13,True,0.012807355999939318,6643,6643,138,115,120.0,1.0516407958430052
S3,Dijkstra,14,True,0.010607485000036831,5762,5762,168,90,90.0,1.0678108027475899
S3,Dijkstra,15,True,0.009881884999686008,5304,5304,162,84,84.0,1.0725808126792002
S3,Dijkstra,16,True,0.0032124470003509487,1841,1841,92,50,55.0,1.1098198821709189
S3,Dijkstra,17,True,0.005336982000244461,2964,2964,159,55,55.0,1.1086925891392752
S3,Dijkstra,18,True,0.002548988999933499,1422,1422,60,55,60.0,1.0908346890806926
S3,Dijkstra,19,True,0.0032212440000876086,1823,1823,87,59,59.0,1.0885371145458476
S3,Dijkstra,20,True,0.009214300000166986,4828,4828,207,66,71.0,1.0959849042850842
S3,Dijkstra,21,True,0.0041147089996229624,2334,2334,94,72,77.0,1.0730078495674014
S3,Dijkstra,22,True,0.003573488000256475,1997,1997,124,53,58.0,1.1039512774598759
S3,Dijkstra,23,True,0.006075635999877704,3393,3393,111,104,104.0,1.050207708053076
S3,Dijkstra,24,True,0.012775518000125885,6407,6407,130,130,140.0,1.0440420908863621
S3,Dijkstra,25,True,0.012115673000153038,6158,6158,184,86,86.0,1.0727113689168584
S3,Dijkstra,26,True,0.001998068999910174,1102,1102,85,42,42.0,1.1206311582822632
S3,Dijkstra,27,True,0.00705945099980454,3118,3118,106,78,88.0,1.0707580308432045
S3,Dijkstra,28,True,0.010525345000132802,5843,5843,137,115,120.0,1.0502321241339176
S3,A*,1,True,0.0024060710002231644,1032,1032,97,99,99.0,1.037499344731871
S3,A*,2,True,0.002136026999778551,981,981,154,107,112.0,1.0330171717834804
S3,A*,3,True,0.0005468419999488106,247,247,54,38,43.0,1.0812991822376152
S3,A*,4,True,0.0023389920002045983,997,997,147,98,98.0,1.0375453270370287
S3,A*,5,True,0.0037563930000032997,1608,1608,112,121,126.0,1.0333296713067233
S3,A*,6,True,0.0019613280001067324,825,825,233,91,91.0,1.0387169154498297
S3,A*,7,True,0.0012912869997308007,564,564,135,79,79.0,1.0404124093598965
S3,A*,8,True,0.0025754700000106823,1183,1183,109,77,92.0,1.055257928716165
S3,A*,9,True,0.003712417999850004,1677,1677,120,137,137.0,1.0285963394132156
S3,A*,10,True,0.00013270799991005333,59,59,26,21,21.0,1.0849519039749138
S3,A*,11,True,0.00011959199991906644,49,49,42,37,37.0,1.0132663024691646
S3,A*,12,True,0.0027463620003800315,1172,1172,138,119,129.0,1.0304850357001656
S3,A*,13,True,0.004788357000052201,2092,2092,260,115,120.0,1.038720011595231
S3,A*,14,True,0.0018988270003319485,839,839,104,90,90.0,1.0395819195941298
S3,A*,15,True,0.0010951459998977953,469,469,127,84,84.0,1.0337810209520786
S3,A*,16,True,0.0007576200000585231,354,354,65,50,55.0,1.0639942927029256
S3,A*,17,True,0.0006694700000480225,299,299,57,55,55.0,1.0510709115816077
S3,A*,18,True,0.0007851039999877685,362,362,66,55,60.0,1.0561679940693236
S3,A*,19,True,0.000508758000250964,199,199,72,59,59.0,1.0353316571578786
S3,A*,20,True,0.0012972879999324505,528,528,93,66,71.0,1.050931068632992
S3,A*,21,True,0.0010833540000021458,513,513,79,72,77.0,1.044346604233532
S3,A*,22,True,0.0009122709998337086,402,402,68,53,58.0,1.0621939338135227
S3,A*,23,True,0.0017752560002008977,819,819,91,104,104.0,1.0319462588848984
S3,A*,24,True,0.005088309000257141,1808,1808,284,130,140.0,1.0314663218164548
S3,A*,25,True,0.001465123999878415,599,599,152,86,86.0,1.0366837936859161
S3,A*,26,True,0.0002848630001608399,93,93,51,42,42.0,1.033387422107098
S3,A*,27,True,0.0015997160003280442,657,657,124,78,88.0,1.043933438263176
S3,A*,28,True,0.005457235999983823,2311,2311,226,115,120.0,1.0398584398142652
