scenario,algorithm,trial,found,time_s,expanded,visited,frontier_peak,path_len,total_cost,b_star
S2,Dijkstra,1,True,0.014715902000261849,4652,4652,144,66,73.87005768508877,1.095254322053035
S2,Dijkstra,2,True,0.009633493999899656,2965,2965,149,41,50.941125496954264,1.1576808429977241
S2,Dijkstra,3,True,0.01304998700015858,4303,4303,199,43,52.526911934581165,1.1601722106554608
S2,Dijkstra,4,True,0.014434996000090905,4725,4725,169,55,61.6274169979695,1.119897194076736
S2,Dijkstra,5,True,0.01046676199985086,3152,3152,145,37,49.01219330881973,1.1819956720884823
S2,Dijkstra,6,True,0.01721428200016817,5472,5472,159,68,83.32590180780447,1.0948741402633022
S2,Dijkstra,7,True,0.01815365600032237,5833,5833,145,80,91.18376618407352,1.0786209236217488
S2,Dijkstra,8,True,0.01656451000008019,5187,5187,150,84,95.18376618407352,1.0722410927901103
S2,Dijkstra,9,True,0.012427808999746048,4122,4122,140,56,70.49747468305829,1.1140260687131867
S2,Dijkstra,10,True,0.013241528999969887,4258,4258,194,41,51.76955262170044,1.1697275753120397
S2,Dijkstra,11,True,0.014183668999976362,4459,4459,206,43,50.87005768508879,1.1612942250440161
S2,Dijkstra,12,True,0.0012054399999215093,339,339,62,11,14.313708498984763,1.5456970860741404
S2,Dijkstra,13,True,0.021894263999911345,6890,6890,142,98,108.35533905932733,1.0633503687323969
S2,Dijkstra,14,True,0.004794177999883686,1458,1458,157,24,29.384776310850242,1.270162728602659
S2,Dijkstra,15,True,0.004086374000053183,1293,1293,93,26,30.55634918610405,1.2361872146097475
S2,Dijkstra,16,True,0.01635191900004429,4996,4996,280,46,51.38477631085022,1.151513669798891
S2,Dijkstra,17,True,0.01498146199992334,4460,4460,138,74,82.69848480983497,1.0818908143799821
S2,Dijkstra,18,True,0.020585006999681355,6378,6378,145,76,88.8406204335659,1.0852648754831202
S2,Dijkstra,19,True,0.006192183000166551,1970,1970,188,29,32.31370849898476,1.225406982349265
S2,Dijkstra,20,True,0.009880814000098326,3157,3157,123,54,69.74011537017756,1.1127920621548264
S2,Dijkstra,21,True,0.021030300999882456,6558,6558,148,81,97.15432893255063,1.0792716800523183
S2,Dijkstra,22,True,0.011447882000084064,3462,3462,200,40,44.556349186104036,1.1680178338648797
S2,Dijkstra,23,True,0.0032477660001859476,975,975,64,29,35.213203435596434,1.1904250316147076
S2,Dijkstra,24,True,0.008054472000367241,2411,2411,102,51,56.38477631085022,1.114160784856507
S2,Dijkstra,25,True,0.017066955999780475,5326,5326,152,50,65.74011537017758,1.138221517082048
S2,Dijkstra,26,True,0.02113196300024356,6873,6873,174,91,101.35533905932732,1.0693523982707727
S2,Dijkstra,27,True,0.01653071999999156,4883,4883,155,59,65.62741699796952,1.1105890048212883
S2,Dijkstra,28,True,0.006723223000335565,2184,2184,142,35,40.798989873223334,1.180726333720067
S2,Dijkstra,29,True,0.020844359999955486,6317,6317,143,82,98.98275605729683,1.0775023196851112
S2,A*,1,True,0.0027975310003967024,677,677,115,66,73.87005768508877,1.0562299276962093
S2,A*,2,True,0.0007592340002702258,168,168,76,41,50.941125496954264,1.058264588230002
S2,A*,3,True,0.0009321200000158569,206,206,121,43,52.526911934581165,1.0610853763280463
S2,A*,4,True,0.0023376889998871775,504,504,101,55,61.6274169979695,1.0648057175452914
S2,A*,5,True,0.0005693559996871045,113,113,94,37,49.01219330881973,1.0520862400308464
S2,A*,6,True,0.0013282089998938318,278,278,151,68,83.32590180780447,1.034983930388119
S2,A*,7,True,0.0028486910000538046,630,630,162,80,91.18376618407352,1.0416386982470307
S2,A*,8,True,0.005144207999819628,1225,1225,144,84,95.18376618407352,1.049738614311226
S2,A*,9,True,0.0017896839999593794,430,430,120,56,70.49747468305829,1.0591251806207382
S2,A*,10,True,0.0007579620000797149,171,171,94,41,51.76955262170044,1.0589298799834017
S2,A*,11,True,0.0017199489998347417,350,350,99,43,50.87005768508879,1.0793368432022512
S2,A*,12,True,9.25099998312362e-05,20,20,29,11,14.313708498984763,1.0888254044017733
S2,A*,13,True,0.004174463999788713,932,932,145,98,108.35533905932733,1.0365978772704625
S2,A*,14,True,0.0006047639999451349,150,150,52,24,29.384776310850242,1.1276285854006804
S2,A*,15,True,0.00043409199997768155,93,93,49,26,30.55634918610405,1.0838850813988317
S2,A*,16,True,0.0019565990000955935,453,453,109,46,51.38477631085022,1.0800068417192565
S2,A*,17,True,0.002476117000242084,504,504,129,74,82.69848480983497,1.0422637724649082
S2,A*,18,True,0.005178064000119775,1091,1091,266,76,88.8406204335659,1.0547878682690883
S2,A*,19,True,0.000592280000091705,139,139,63,29,32.31370849898476,1.091047647753843
S2,A*,20,True,0.001387032999900839,299,299,127,54,69.74011537017756,1.0525292035064182
S2,A*,21,True,0.005614229999991949,1201,1201,269,81,97.15432893255064,1.051888961081708
S2,A*,22,True,0.000945786000102089,213,213,72,40,44.556349186104036,1.0697167054836387
S2,A*,23,True,0.0008961100002125022,202,202,68,29,35.213203435596434,1.1107746889138141
S2,A*,24,True,0.0010205409998889081,220,220,75,51,56.38477631085023,1.0483134972122317
S2,A*,25,True,0.0009946610002771195,225,225,128,50,65.74011537017758,1.0505688252478342
S2,A*,26,True,0.0047139220000644855,1039,1039,195,91,101.35533905932733,1.042207902175286
S2,A*,27,True,0.0028853019998678064,642,642,115,59,65.62741699796952,1.0644283909294923
S2,A*,28,True,0.0016260170000350627,359,359,91,35,40.798989873223334,1.1076216510414203
S2,A*,29,True,0.004666208999879018,1051,1051,323,82,98.98275605729683,1.0488357353903837
